submission_year,main_categories,count,total,proportion
2007,nlin,6,274,0.021897810218978103
2007,nucl-ex,1,274,0.0036496350364963502
2007,nucl-th,4,274,0.014598540145985401
2007,physics,22,274,0.08029197080291971
2007,q-bio,7,274,0.025547445255474453
2007,quant-ph,7,274,0.025547445255474453
2008,astro-ph,40,313,0.12779552715654952
2008,cond-mat,45,313,0.14376996805111822
2008,cs,24,313,0.07667731629392971
2008,gr-qc,6,313,0.019169329073482427
2008,hep-ex,7,313,0.022364217252396165
2008,hep-lat,2,313,0.006389776357827476
2008,hep-ph,17,313,0.054313099041533544
2008,hep-th,14,313,0.04472843450479233
2008,math,83,313,0.26517571884984026
2008,math-ph,8,313,0.025559105431309903
2008,nlin,8,313,0.025559105431309903
2008,nucl-ex,1,313,0.003194888178913738
2008,nucl-th,2,313,0.006389776357827476
2008,physics,25,313,0.07987220447284345
2008,q-bio,5,313,0.01597444089456869
2008,q-fin,3,313,0.009584664536741214
2008,quant-ph,13,313,0.04153354632587859
2008,stat,10,313,0.03194888178913738
2009,astro-ph,54,363,0.1487603305785124
2009,cond-mat,56,363,0.15426997245179064
2009,cs,22,363,0.06060606060606061
2009,gr-qc,16,363,0.0440771349862259
2009,hep-ex,12,363,0.03305785123966942
2009,hep-lat,1,363,0.0027548209366391185
2009,hep-ph,22,363,0.06060606060606061
2009,hep-th,23,363,0.06336088154269973
2009,math,71,363,0.19559228650137742
2009,math-ph,11,363,0.030303030303030304
2009,nlin,2,363,0.005509641873278237
2009,nucl-ex,7,363,0.01928374655647383
2009,nucl-th,4,363,0.011019283746556474
2009,physics,36,363,0.09917355371900827
2009,q-bio,5,363,0.013774104683195593
2009,q-fin,2,363,0.005509641873278237
2009,quant-ph,14,363,0.03856749311294766
2009,stat,5,363,0.013774104683195593
2010,astro-ph,60,407,0.14742014742014742
2010,cond-mat,66,407,0.16216216216216217
2010,cs,30,407,0.07371007371007371
2010,gr-qc,10,407,0.02457002457002457
2010,hep-ex,8,407,0.019656019656019656
2010,hep-lat,4,407,0.009828009828009828
2010,hep-ph,16,407,0.03931203931203931
2010,hep-th,23,407,0.056511056511056514
2010,math,106,407,0.26044226044226043
2010,math-ph,13,407,0.03194103194103194
2010,nlin,4,407,0.009828009828009828
2010,nucl-ex,2,407,0.004914004914004914
2010,nucl-th,6,407,0.014742014742014743
2010,physics,24,407,0.05896805896805897
2010,q-bio,6,407,0.014742014742014743
2010,q-fin,1,407,0.002457002457002457
2010,quant-ph,19,407,0.04668304668304668
2010,stat,9,407,0.022113022113022112
2011,astro-ph,51,445,0.1146067415730337
2011,cond-mat,50,445,0.11235955056179775
2011,cs,47,445,0.10561797752808989
2011,econ,1,445,0.0022471910112359553
2011,gr-qc,13,445,0.029213483146067417
2011,hep-ex,12,445,0.02696629213483146
2011,hep-lat,1,445,0.0022471910112359553
2011,hep-ph,15,445,0.033707865168539325
2011,hep-th,19,445,0.04269662921348315
2011,math,114,445,0.25617977528089886
2011,math-ph,12,445,0.02696629213483146
2011,nlin,5,445,0.011235955056179775
2011,nucl-ex,5,445,0.011235955056179775
2011,nucl-th,9,445,0.020224719101123594
2011,physics,37,445,0.08314606741573034
2011,q-bio,7,445,0.015730337078651686
2011,q-fin,1,445,0.0022471910112359553
2011,quant-ph,22,445,0.04943820224719101
2011,stat,24,445,0.05393258426966292
2012,astro-ph,65,496,0.1310483870967742
2012,cond-mat,58,496,0.11693548387096774
2012,cs,74,496,0.14919354838709678
2012,gr-qc,20,496,0.04032258064516129
2012,hep-ex,8,496,0.016129032258064516
2012,hep-lat,3,496,0.006048387096774193
2012,hep-ph,12,496,0.024193548387096774
2012,hep-th,24,496,0.04838709677419355
2012,math,123,496,0.24798387096774194
2012,math-ph,17,496,0.034274193548387094
2012,nlin,3,496,0.006048387096774193
2012,nucl-ex,4,496,0.008064516129032258
2012,nucl-th,7,496,0.014112903225806451
2012,physics,39,496,0.07862903225806452
2012,q-bio,7,496,0.014112903225806451
2012,q-fin,2,496,0.004032258064516129
